Title,Price,Manufacturer,Category,Fuel Type,Fiscal Horsepower,Transmission,Mileage,Year,Insertion Date
Mazda CX-9 Confort,58500,Mazda,SUV/4x4,Essence,20,Automatique,272000,08.2010,20.02.2024
Mercedes-Benz Classe C PARFAITE,65000,Mercedes,Berline,Essence,20,Automatique,250000,09.2016,20.02.2024
Opel Astra GTC 2 PORTES,25000,Opel,Coupé,Essence,5,Manuelle,300000,11.2010,20.02.2024
Mercedes-Benz Classe C C180 Essence BVA bluemotio,51000,Mercedes,Berline,Essence,9,Automatique,280000,01.2010,20.02.2024
BMW Série 4 Gran Coupé 420i kit M performance,115000,BMW,Berline,Essence,10,Automatique,140000,03.2016,26.02.2024
Haval H6,82000,Haval,SUV/4x4,Essence,9,Automatique,62000,01.2020,26.02.2024
Volkswagen Passat,78000,Volkswagen,Citadine,Essence,7,Manuelle,69000,07.2018,26.02.2024
Seat Leon,71000,Seat,Citadine,Essence,6,Manuelle,60000,04.2020,26.02.2024
BMW Série 4 Gran Coupé 418 PACK M,125000,BMW,Citadine,Essence,7,Automatique,110000,06.2017,26.02.2024
Fiat Panda City Cross,45000,Fiat,Citadine,Essence,4,Manuelle,20000,05.2022,26.02.2024
Haval H6,80000,Haval,SUV/4x4,Essence,9,Automatique,90000,07.2019,26.02.2024
BMW Série 1 Pack sport,92000,BMW,Citadine,Essence,7,Automatique,70000,01.2020,26.02.2024
BMW X1 FACELIFT PACK M,144000,BMW,SUV/4x4,Essence,8,Automatique,87000,06.2020,26.02.2024
BMW X1,93000,BMW,SUV/4x4,Essence,8,Automatique,85000,05.2018,26.02.2024
BMW X4 PACK M,268000,BMW,SUV/4x4,Essence,10,Automatique,73000,03.2020,26.02.2024
Jaguar F-Pace R-Sport dynamique,269000,Jaguar,SUV/4x4,Essence,15,Automatique,27000,03.2021,26.02.2024
BMW Série 3 KIT M et kit akrapovic d’origine,76500,BMW,Berline,Essence,7,Automatique,116000,07.2016,26.02.2024
Land Rover Range Rover Sport Range Sport 3.0 V6 24CV HSE,238000,Land Rover,SUV/4x4,Essence,24,Automatique,90000,07.2016,26.02.2024
Toyota Hilux importée d’Allemagne,159000,Toyota,Pick up,Diesel,8,Manuelle,140000,07.2019,26.02.2024
Renault Clio,55500,Renault,Berline,Essence,5,Manuelle,130000,08.2021,26.02.2024
Citroën DS 7,119000,Citroën,SUV/4x4,Essence,10,Automatique,108000,11.2019,26.02.2024
Mercedes-Benz CLA 180,155500,Mercedes,Berline,Essence,7,Automatique,80000,11.2019,26.02.2024
Mercedes-Benz Classe C c 200 KIT AMG,154500,Mercedes,Berline,Hybride essence,10,Automatique,46000,01.2020,26.02.2024
Peugeot 3008,89500,Peugeot,SUV/4x4,Essence,7,Automatique,54000,01.2021,26.02.2024
Porsche Cayenne GTS,95000,Porsche,SUV/4x4,Essence,31,Automatique,150000,01.2010,26.02.2024
Mercedes-Benz Classe C 300e Pack amg,205000,Mercedes,Berline,Hybride essence,6,Automatique,35000,01.2020,26.02.2024
Volkswagen Golf 8 R_line 1.5,155000,Volkswagen,Citadine,Essence,8,Automatique,40000,09.2021,26.02.2024
Renault Kadjar,66000,Renault,SUV/4x4,Essence,7,Automatique,150000,01.2018,26.02.2024
Audi Q3,85000,Audi,SUV/4x4,Essence,7,Automatique,77000,08.2017,26.02.2024
Chery Tiggo 3,43500,Chery,SUV/4x4,Essence,8,Manuelle,75000,08.2018,26.02.2024
Toyota C-HR,73000,Toyota,SUV/4x4,Essence,6,Automatique,90000,07.2018,26.02.2024
Dongfeng T5 EVO,182920,Dongfeng,SUV/4x4,Essence,9,Automatique,4000,11.2023,26.02.2024
Land Rover Range Rover Velar dynamique,295000,Land Rover,SUV/4x4,Essence,11,Automatique,90000,10.2020,26.02.2024
BMW Série 4 Coupé 420i Pack M,112000,BMW,Coupé,Essence,10,Automatique,155000,01.2015,26.02.2024
Mini 3 portes one,57000,Mini,Coupé,Essence,4,Manuelle,70000,06.2016,26.02.2024
KIA Rio 5p,68000,KIA,Citadine,Essence,5,Manuelle,45000,07.2022,26.02.2024
Porsche Panamera 4S  V8,169000,Porsche,Berline,Essence,30,Automatique,96000,02.2011,26.02.2024
BMW Série 1 Boîte automatique,69500,BMW,Compacte,Essence,7,Automatique,102000,07.2017,26.02.2024
BMW Série 3 318i pack M,117000,BMW,Berline,Essence,7,Automatique,86000,08.2018,26.02.2024
Toyota Hilux Importe d’Allemagne,159000,Toyota,Pick up,Essence,8,Manuelle,140000,07.2019,26.02.2024
Audi A4,46500,Audi,Berline,Essence,8,Manuelle,125000,07.2014,26.02.2024
Mercedes-Benz CLA AMG Importée d’Allemagne,154500,Mercedes,Berline,Essence,7,Automatique,80000,08.2019,26.02.2024
Mercedes-Benz CLA KIT AMG,157000,Mercedes,Berline,Diesel,6,Automatique,61000,11.2019,26.02.2024
Hyundai Tucson DIESEL-HYBRID,155000,Hyundai,SUV/4x4,Hybride diesel,7,Automatique,50000,04.2021,26.02.2024
Peugeot 208,44500,Peugeot,Citadine,Essence,4,Manuelle,34000,03.2022,26.02.2024
Ford Focus,58500,Ford,Citadine,Essence,6,Manuelle,100000,07.2018,26.02.2024
Toyota Corolla,73000,Toyota,Citadine,Essence,6,Automatique,135000,07.2020,26.02.2024
Audi A6,37000,Audi,Berline,Essence,11,Automatique,419000,09.2008,26.02.2024
Citroën C3 SHINE,43000,Citroën,Citadine,Essence,4,Manuelle,28000,01.2019,26.02.2024
KIA Rio 5p,54500,KIA,Citadine,Essence,5,Manuelle,66000,01.2022,26.02.2024
KIA Picanto GT-Line,43000,KIA,Citadine,Essence,5,Automatique,89000,07.2019,26.02.2024
Fiat 500,37500,Fiat,Coupé,Essence,6,Automatique,135000,05.2013,26.02.2024
Hyundai Grand i10 Sedan,36500,Hyundai,Berline,Essence,5,Manuelle,118000,02.2020,26.02.2024
Peugeot 2008,90000,Peugeot,SUV/4x4,Essence,7,Automatique,37000,09.2021,26.02.2024
Mahindra KUV 100 K8,39500,Mahindra,SUV/4x4,Essence,5,Manuelle,8000,06.2023,26.02.2024
Peugeot 406 3.0,15500,Peugeot,Coupé,Essence,10,Manuelle,150000,07.1998,26.02.2024
Mercedes-Benz Classe C 1.6L,109000,Mercedes,Berline,Essence,9,Automatique,167000,03.2014,26.02.2024
Mercedes-Benz Classe S S350,105000,Mercedes,Berline,Diesel,15,Automatique,111000,06.2008,26.02.2024
Peugeot 3008 1.6L GT LINE,86000,Peugeot,SUV/4x4,Essence,9,Automatique,92000,01.2018,26.02.2024
Porsche Macan S,355000,Porsche,SUV/4x4,Essence,26,Automatique,52000,09.2019,26.02.2024
Toyota Agya 1.0L,34500,Toyota,Coupé,Essence,4,Manuelle,30000,08.2021,26.02.2024
Audi Q5 2.0L,68500,Audi,SUV/4x4,Diesel,10,Automatique,190000,03.2012,26.02.2024
BMW Série 3 1.6,47000,BMW,Coupé,Essence,7,Manuelle,99000,03.2010,26.02.2024
Audi Q3 1.4,87000,Audi,SUV/4x4,Essence,8,Automatique,111000,04.2017,26.02.2024
Mercedes-Benz Classe E coupé E350,68500,Mercedes,Coupé,Diesel,14,Automatique,150000,06.2009,26.02.2024
Mercedes-Benz CLA 1.6,77000,Mercedes,Berline,Essence,8,Automatique,174000,08.2013,26.02.2024
Peugeot 3008 GT-line,105000,Peugeot,SUV/4x4,Essence,6,Automatique,110000,05.2020,26.02.2024
Audi Q3 S_Line,95000,Audi,SUV/4x4,Essence,8,Automatique,100000,12.2017,26.02.2024
Porsche Cayenne V6,185000,Porsche,SUV/4x4,Essence,21,Automatique,70000,09.2013,26.02.2024
Mercedes-Benz Classe C Pack AMG,218000,Mercedes,Citadine,Essence,9,Automatique,50000,06.2022,26.02.2024
Mercedes-Benz Classe E Kit AMG,87000,Mercedes,Citadine,Essence,10,Automatique,135000,07.2011,26.02.2024
Mercedes-Benz Classe A,159000,Mercedes,Citadine,Essence,8,Automatique,20000,07.2022,26.02.2024
Ford Ka,24000,Ford,Citadine,Essence,4,Manuelle,173000,11.2014,26.02.2024
Fiat Grande Punto,28500,Fiat,Coupé,Essence,4,Manuelle,93000,03.2017,26.02.2024
BMW Série 2 Active Tourer Pack M,78800,BMW,Berline,Essence,7,Automatique,142000,07.2015,26.02.2024
Volkswagen Golf 7 Smart Line,58000,Smart,Berline,Essence,6,Manuelle,169000,10.2016,26.02.2024
Audi Q5 QUATTRO COUPE S-LINE,350000,Audi,SUV/4x4,Hybride diesel,12,Automatique,17313,11.2022,19.02.2024
Volkswagen Golf 7 IQ DRIVE,89000,Volkswagen,Citadine,Essence,5,Manuelle,48257,07.2019,19.02.2024
Ford Focus,24000,Ford,Citadine,Essence,6,Manuelle,128000,10.2007,26.02.2024
Volkswagen Golf 7 RESTYLEE IQ DRIVE,88000,Volkswagen,Citadine,Essence,6,Manuelle,31915,10.2019,19.02.2024
Volkswagen Golf 8 GTE ESSENCE/ELECTRIQUE,148000,Volkswagen,Citadine,Essence,6,Automatique,65786,04.2021,19.02.2024
Mercedes-Benz GLA 250 E KIT AMG,198000,Mercedes,Berline,Hybride essence,11,Automatique,58499,11.2020,19.02.2024
Mini Cooper S COOPER 1.5,105000,Mini,Coupé,Essence,7,Automatique,32529,07.2020,19.02.2024
KIA Sportage GT-LINE,115000,KIA,SUV/4x4,Diesel,7,Automatique,98872,05.2019,19.02.2024
Dacia Sandero,56000,Dacia,Autres,Essence,6,Automatique,36746,10.2019,19.02.2024
Hyundai i20 HYNDAI I20 HIGH GRADE N LINE,70000,Hyundai,Compacte,Essence,5,Automatique,63386,07.2022,19.02.2024
Peugeot 3008 GT-LINE,120000,Peugeot,SUV/4x4,Essence,9,Automatique,75822,02.2022,19.02.2024
Peugeot 508 PREMUIM,98000,Peugeot,SUV/4x4,Diesel,7,Manuelle,97059,03.2019,19.02.2024
Citroën Berlingo Utilitaire CITROEN BERLINGO K9,57000,Citroën,Utilitaire,Diesel,5,Manuelle,102624,05.2019,19.02.2024
Mercedes-Benz Classe C coupé AMG,134000,Mercedes,Coupé,Essence,8,Automatique,135000,04.2017,26.02.2024
Volkswagen Tiguan,85000,Volkswagen,SUV/4x4,Essence,8,Automatique,98000,10.2017,26.02.2024
Mercedes-Benz Classe A Importe D’Allemagne,135000,Mercedes,Compacte,Essence,7,Automatique,55000,07.2019,26.02.2024
Audi Q3 SLINE,225000,Audi,SUV/4x4,Diesel,9,Automatique,23000,09.2022,26.02.2024
BMW Série 4 Gran Coupé grand coupee,143000,BMW,Berline,Essence,7,Automatique,57000,08.2020,26.02.2024
BMW Série 5 BUSINESS line,190000,BMW,Berline,Essence,10,Automatique,65500,11.2020,26.02.2024
Porsche Cayenne v6,53000,Porsche,SUV/4x4,Essence,23,Automatique,252000,09.2007,26.02.2024
Audi Q5 Sportback SLINE,340000,Audi,SUV/4x4,Essence,17,Automatique,32000,07.2022,26.02.2024
Mercedes-Benz Classe C 200 EQ Boost AMG,155000,Mercedes,Berline,Hybride essence,10,Automatique,43000,08.2019,26.02.2024
Audi Q3 Nouveau Modèle,135000,Audi,SUV/4x4,Essence,9,Automatique,55000,07.2020,26.02.2024
Land Rover Range Rover Sport sport SDV6,297000,Land Rover,SUV/4x4,Diesel,19,Automatique,79000,01.2017,26.02.2024
Mercedes-Benz Classe A A180,118500,Mercedes,Berline,Essence,7,Automatique,115000,08.2020,26.02.2024
Mercedes-Benz Classe A,54500,Mercedes,Compacte,Essence,6,Manuelle,169000,01.2013,26.02.2024
Volkswagen Amarok HIGHLINE,97000,Volkswagen,Pick up,Diesel,7,Automatique,215000,02.2017,26.02.2024
Seat Leon,66000,Seat,Citadine,Essence,6,Manuelle,100000,01.2018,25.02.2024
KIA Sportage,77000,KIA,SUV/4x4,Essence,8,Automatique,100000,12.2016,25.02.2024
KIA Sportage,98000,KIA,SUV/4x4,Essence,8,Automatique,100000,01.2020,25.02.2024
Hyundai Grand i10,35000,Hyundai,Citadine,Essence,5,Manuelle,78000,05.2018,25.02.2024
Mercedes-Benz Classe C,118000,Mercedes,Berline,Essence,8,Automatique,120000,03.2019,25.02.2024
Dacia Dokker Van,48500,Dacia,Citadine,Diesel,5,Manuelle,160000,05.2018,25.02.2024
Nissan Qashqai Tekna plus,82000,Nissan,SUV/4x4,Essence,7,Automatique,72000,07.2017,25.02.2024
Fiat Grande Punto,29200,Fiat,Citadine,Essence,4,Manuelle,141000,04.2016,25.02.2024
Chery Tiggo 3X LUXURY,61000,Chery,Autres,Essence,6,Automatique,4000,01.2022,25.02.2024
KIA Rio 5p neuf,69000,KIA,Citadine,Essence,5,Manuelle,28000,01.2023,25.02.2024
Peugeot 3008 1,2 L - 135 ch EAT allure,92000,Peugeot,SUV/4x4,Essence,7,Automatique,70000,11.2019,25.02.2024
Volkswagen Golf 8 Life,125000,Volkswagen,Compacte,Essence,8,Automatique,15000,02.2023,25.02.2024
Mercedes-Benz Classe A AMG,175000,Mercedes,Compacte,Hybride rechargeable essence,8,Automatique,6000,12.2022,25.02.2024
Land Rover Range Rover Evoque 2.2 Diesel Dynamic,122000,Land Rover,SUV/4x4,Diesel,11,Automatique,145000,04.2016,25.02.2024
Volkswagen Golf 7 R Line,64000,Volkswagen,Berline,Essence,6,Automatique,150000,08.2016,25.02.2024
Mercedes-Benz Classe C AMG,138000,Mercedes,Berline,Diesel,9,Automatique,120000,07.2019,25.02.2024
Volkswagen Golf 8 RLINE,149000,Volkswagen,Compacte,Hybride essence,8,Automatique,44500,10.2021,25.02.2024
Toyota Land Cruiser VX,390000,Toyota,SUV/4x4,Diesel,19,Automatique,85000,01.2016,25.02.2024
KIA Rio 5p 1.3L,54000,KIA,Coupé,Essence,5,Manuelle,90000,06.2020,26.02.2024
DS 3 PERFORMANCE LINE,46000,DS,Coupé,Essence,6,Automatique,120000,01.2020,26.02.2024
Audi A4 1.4,75000,Audi,Berline,Essence,8,Automatique,150000,06.2017,26.02.2024
MG ZS 1.5,68000,MG,Berline,Essence,7,Automatique,40000,06.2019,26.02.2024
Jeep Compass 2.4,37900,Jeep,SUV/4x4,Essence,11,Automatique,220000,05.2006,26.02.2024
Mazda CX-9 3.8L,43000,Mazda,Autres,Essence,20,Automatique,200000,10.2010,26.02.2024
Jeep Renegade 1.4L,76000,Jeep,SUV/4x4,Essence,8,Automatique,95000,10.2019,26.02.2024
Mercedes-Benz Classe A 1.4,148000,Mercedes,Coupé,Essence,8,Automatique,40500,09.2019,26.02.2024
Cupra Formentor 1.5L,169000,Cupra,Berline,Essence,8,Automatique,19000,10.2022,26.02.2024
Mercedes-Benz CLS V6,52000,Mercedes,Berline,Diesel,13,Automatique,300000,06.2007,26.02.2024
BMW Série 3 1.6,75000,BMW,Berline,Essence,7,Automatique,160000,12.2017,26.02.2024
Audi A4 1.8,54500,Audi,Berline,Essence,7,Manuelle,140000,07.2013,26.02.2024
KIA Picanto,41000,KIA,Citadine,Essence,4,Manuelle,32000,09.2020,25.02.2024
Renault Clio Intense TCe,41000,Renault,Berline,Essence,5,Manuelle,59000,05.2016,25.02.2024
Mahindra KUV 100 K8,33000,Mahindra,Citadine,Essence,5,Manuelle,33000,07.2021,25.02.2024
Peugeot 208 Populaire,42000,Peugeot,Citadine,Essence,4,Manuelle,20000,01.2022,26.02.2024
Seat Leon,44000,Seat,Compacte,Essence,5,Manuelle,231000,04.2014,26.02.2024
Volkswagen Tiguan connect,99000,Volkswagen,SUV/4x4,Essence,8,Manuelle,65000,08.2019,26.02.2024
Mahindra KUV 100 K8,30000,Mahindra,Autres,Essence,5,Manuelle,90000,05.2019,26.02.2024
Peugeot 206,19000,Peugeot,Citadine,Essence,4,Manuelle,183000,12.2005,26.02.2024
Mercedes-Benz Classe C AMG,55000,Mercedes,Berline,Essence,9,Automatique,150000,05.2010,26.02.2024
Peugeot 308 cc Cabriolet,36000,Peugeot,Cabriolet,Essence,9,Manuelle,140000,07.2012,26.02.2024
Seat Ibiza,52000,Seat,Citadine,Essence,4,Manuelle,46000,01.2022,26.02.2024
Nissan Qashqai Tn239,78000,Nissan,SUV/4x4,Diesel,5,Manuelle,138000,02.2019,26.02.2024
Volkswagen Tiguan,73000,Volkswagen,SUV/4x4,Essence,8,Automatique,185000,09.2017,26.02.2024
Volkswagen Jetta,38500,Volkswagen,Berline,Essence,8,Manuelle,170000,02.2013,25.02.2024
KIA Rio 5p Prestige,57000,KIA,Citadine,Essence,5,Manuelle,67000,03.2021,26.02.2024
Volkswagen Golf 7,68500,Volkswagen,Citadine,Diesel,6,Automatique,200000,02.2019,26.02.2024
Mercedes-Benz Classe A,118000,Mercedes,Citadine,Diesel,6,Automatique,98000,03.2019,26.02.2024
Peugeot 208 Ehdi,45500,Peugeot,Citadine,Diesel,5,Manuelle,158000,01.2021,26.02.2024
KIA Rio 5p Premiere main,45500,KIA,Citadine,Essence,5,Manuelle,68000,02.2018,26.02.2024
Chevrolet Aveo LS,26200,Chevrolet,Berline,Essence,5,Manuelle,182500,07.2016,18.02.2024
Mazda 2 Sedan neuve,46000,Mazda,Berline,Essence,6,Manuelle,115000,04.2017,19.02.2024
Seat Ibiza,39000,Seat,Citadine,Essence,4,Manuelle,66500,05.2017,19.02.2024
Haval H6 1,5 L,118000,Haval,SUV/4x4,Essence,8,Automatique,42000,05.2022,19.02.2024
Citroën C3 shine plus sur équipée,33000,Citroën,Citadine,Essence,4,Manuelle,195000,08.2017,19.02.2024
KIA Rio 5p,67500,KIA,Citadine,Essence,5,Manuelle,12000,09.2022,19.02.2024
Mazda 3 Hatchback,48000,Mazda,Coupé,Essence,6,Manuelle,110000,05.2015,19.02.2024
Dacia Dokker Van,27000,Dacia,Utilitaire,Diesel,6,Manuelle,190000,04.2017,19.02.2024
KIA Rio 5p Toute option,54000,KIA,Autres,Essence,5,Manuelle,86500,03.2019,19.02.2024
Isuzu D-Max Double Cabine LS 4X4,125000,Isuzu,Pick up,Diesel,8,Manuelle,26700,10.2017,19.02.2024
Geely GC6,32000,Geely,Berline,Essence,6,Manuelle,56000,10.2021,19.02.2024
Mercedes-Benz Classe E 2.2,78500,Mercedes,Berline,Diesel,8,Automatique,200000,09.2013,19.02.2024
Jeep Renegade,85000,Jeep,SUV/4x4,Essence,8,Automatique,80000,01.2020,25.02.2024
Hyundai Grand i10,39000,Hyundai,Berline,Essence,5,Manuelle,74000,05.2020,25.02.2024
Renault Megane,60000,Renault,Citadine,Essence,7,Manuelle,60000,08.2020,25.02.2024
Skoda Octavia,48000,Skoda,Berline,Essence,8,Automatique,113000,04.2016,25.02.2024
Suzuki Dzire,38500,Suzuki,Citadine,Essence,5,Manuelle,90000,04.2019,25.02.2024
BMW X6 XDRIVE D M.POWER,110000,BMW,SUV/4x4,Diesel,15,Automatique,278000,10.2010,18.02.2024
Volkswagen Golf 6,40000,Volkswagen,Utilitaire,Essence,5,Manuelle,122000,01.2012,18.02.2024
Renault Clio Campus,21500,Renault,Coupé,Essence,5,Manuelle,323000,07.2012,18.02.2024
Hyundai i10,28500,Hyundai,Citadine,Essence,5,Manuelle,260000,09.2015,18.02.2024
BMW X1,84000,BMW,SUV/4x4,Essence,7,Automatique,120000,05.2017,18.02.2024
Ford Ecosport Titanium BVA,75000,Ford,SUV/4x4,Essence,7,Automatique,39000,10.2020,18.02.2024
Dongfeng SX3,65000,Dongfeng,SUV/4x4,Essence,8,Manuelle,32000,03.2021,26.02.2024
Mazda BT-50,50000,Mazda,Pick up,Diesel,9,Manuelle,197000,05.2016,26.02.2024
Seat Leon,65000,Seat,Citadine,Essence,6,Manuelle,79000,07.2018,26.02.2024
Citroën DS3 Sport chic,30500,Citroën,Coupé,Essence,5,Manuelle,99000,11.2013,26.02.2024
BYD Song,88000,BYD,SUV/4x4,Essence,9,Automatique,25000,11.2022,18.02.2024
KIA Sportage extrem,110000,KIA,SUV/4x4,Essence,8,Automatique,23000,03.2020,18.02.2024
Peugeot 4008,52000,Peugeot,SUV/4x4,Essence,9,Manuelle,90000,02.2014,18.02.2024
Audi A3 Berline S line,59000,Audi,Berline,Essence,5,Manuelle,180000,07.2015,18.02.2024
KIA Rio 5p Neuve,44600,KIA,Coupé,Essence,5,Manuelle,100000,03.2020,18.02.2024
BMW Série 3 316i,73000,BMW,Berline,Essence,7,Automatique,164000,12.2014,18.02.2024
BMW M1,50000,BMW,Coupé,Essence,21,Automatique,140000,04.2010,18.02.2024
Skoda Octavia,37000,Skoda,Berline,Diesel,6,Automatique,295000,06.2012,18.02.2024
Renault Kadjar,70000,Renault,SUV/4x4,Essence,7,Manuelle,69000,02.2019,18.02.2024
Peugeot Partner K9,45000,Peugeot,Utilitaire,Diesel,5,Manuelle,112000,10.2019,18.02.2024
Fiat Doblo Combi,50000,Fiat,Utilitaire,Essence,6,Manuelle,124000,10.2019,18.02.2024
Nissan Navara,39000,Nissan,Pick up,Diesel,8,Automatique,357000,05.2007,26.02.2024
Volkswagen Golf 7,73900,Volkswagen,Citadine,Essence,6,Manuelle,100000,11.2018,26.02.2024
Mahindra KUV 100,30000,Mahindra,SUV/4x4,Essence,5,Manuelle,87000,11.2018,26.02.2024
Mercedes-Benz Classe E,249000,Mercedes,Berline,Essence,9,Automatique,12000,02.2022,26.02.2024
Mercedes-Benz Classe C,115000,Mercedes,Berline,Essence,8,Automatique,119000,05.2015,26.02.2024
Peugeot 5008,75000,Peugeot,SUV/4x4,Essence,9,Automatique,120000,05.2019,26.02.2024
Fiat Fiorino,27900,Fiat,Utilitaire,Diesel,5,Manuelle,115000,10.2018,26.02.2024
Renault Megane,48900,Renault,Citadine,Essence,7,Manuelle,144000,11.2018,26.02.2024
Ssangyong Tivoli,49500,Ssangyong,SUV/4x4,Diesel,7,Automatique,130000,03.2016,26.02.2024
Nissan Qashqai,69000,Nissan,SUV/4x4,Essence,7,Manuelle,69000,08.2018,17.02.2024
Chery Tiggo 3X Toutes OPTION,57500,Chery,SUV/4x4,Essence,6,Automatique,22000,04.2022,17.02.2024
Mini Coupé One,73000,Mini,Coupé,Essence,5,Manuelle,200000,06.2017,17.02.2024
KIA Rio 5p,51500,KIA,Coupé,Essence,5,Manuelle,100000,09.2018,17.02.2024
Volkswagen Golf 7 highline,72000,Volkswagen,Berline,Diesel,6,Manuelle,112000,12.2019,17.02.2024
Peugeot Partner K9,47500,Peugeot,Utilitaire,Diesel,5,Manuelle,116000,12.2020,17.02.2024
BMW X5,78000,BMW,SUV/4x4,Essence,19,Automatique,136000,08.2008,17.02.2024
BMW Série 1 Urbain,60000,BMW,Citadine,Essence,7,Automatique,131090,07.2015,24.02.2024
Hyundai Santa Fe,230000,Hyundai,SUV/4x4,Diesel,12,Automatique,46000,04.2022,24.02.2024
Citroën Jumpy Fourgon,65000,Citroën,Utilitaire,Diesel,5,Manuelle,198000,04.2018,24.02.2024
Audi A5 Coupé Kit rs 5,205000,Audi,Berline,Essence,8,Automatique,36000,10.2020,24.02.2024
Mercedes-Benz Classe C kit AMG,185000,Mercedes,Berline,Essence,9,Automatique,26000,05.2020,24.02.2024
Mini 3 portes,43000,Mini,Citadine,Essence,7,Automatique,141000,09.2013,24.02.2024
Mercedes-Benz Classe C Kit AMG,150000,Mercedes,Berline,Essence,8,Automatique,73000,10.2018,24.02.2024
KIA Rio 5p GT Line,70000,KIA,Citadine,Essence,5,Manuelle,60000,05.2022,24.02.2024
Seat Ibiza,44000,Seat,Citadine,Essence,4,Manuelle,51000,11.2018,24.02.2024
BMW Série 5 Pack M + options personnalisées,253000,BMW,Berline,Essence,10,Automatique,37000,01.2022,24.02.2024
Chevrolet Cruze,35500,Chevrolet,Berline,Essence,7,Manuelle,198000,07.2014,24.02.2024
Renault Clio,43500,Renault,Citadine,Essence,5,Manuelle,104000,12.2018,24.02.2024
BMW Série 3 business,165000,BMW,Berline,Essence,9,Automatique,62000,04.2021,26.02.2024
Mercedes-Benz Classe C business,132000,Mercedes,Berline,Diesel,7,Automatique,92000,08.2019,26.02.2024
BMW Série 3 Luxury Line,85000,BMW,Berline,Essence,7,Automatique,145000,06.2016,26.02.2024
Fiat 500 BVA,43500,Fiat,Coupé,Essence,4,Automatique,82000,10.2016,26.02.2024
Peugeot 407 Navteq,45000,Peugeot,Citadine,Essence,6,Manuelle,107000,04.2007,26.02.2024
Peugeot 208,29800,Peugeot,Compacte,Essence,5,Manuelle,186000,06.2014,26.02.2024
BMW X6 N47B30,115000,BMW,SUV/4x4,Diesel,15,Automatique,173000,01.2012,26.02.2024
BMW Série 5 N46T,57000,BMW,Autres,Essence,9,Automatique,100000,05.2012,26.02.2024
Audi Q2 comfort line,107000,Audi,SUV/4x4,Essence,6,Automatique,53000,01.2019,26.02.2024
Volkswagen Golf 7 IQ.DRIVE,79000,Volkswagen,Compacte,Essence,6,Manuelle,53000,10.2019,26.02.2024
KIA Sportage BVA,96000,KIA,SUV/4x4,Essence,8,Automatique,52000,02.2020,26.02.2024
Ford Mondeo comfort,37500,Ford,Berline,Essence,7,Manuelle,115000,01.2015,26.02.2024
Fiat Grande Punto toutes options,23800,Fiat,Compacte,Essence,5,Manuelle,165000,05.2010,17.02.2024
Ford Fiesta Titanium,28400,Ford,Citadine,Essence,5,Manuelle,230000,11.2012,17.02.2024
Jeep Renegade 1.4 TURBO LIMITED BVA 4X2,73500,Jeep,SUV/4x4,Essence,8,Automatique,122000,06.2018,18.02.2024
Volkswagen Golf 7,88000,Volkswagen,Berline,Essence,9,Manuelle,9900,08.2020,18.02.2024
Citroën C4 II Millenium,39000,Citroën,Compacte,Essence,6,Manuelle,125000,02.2018,18.02.2024
Peugeot 3008,82000,Peugeot,SUV/4x4,Essence,8,Automatique,78000,06.2019,18.02.2024
Ssangyong Tivoli SUV,56000,Ssangyong,SUV/4x4,Essence,7,Manuelle,84000,10.2017,18.02.2024
Audi Q5,50000,Audi,SUV/4x4,Essence,13,Automatique,290000,07.2010,26.02.2024
Peugeot 208,48000,Peugeot,Citadine,Essence,5,Manuelle,60000,07.2021,26.02.2024
Seat Leon Style plus,69500,Seat,Citadine,Essence,6,Manuelle,60000,09.2020,26.02.2024
Hyundai Tucson,87000,Hyundai,SUV/4x4,Essence,8,Automatique,120000,01.2020,26.02.2024
Hyundai Tucson,153000,Hyundai,SUV/4x4,Essence,10,Automatique,16000,07.2023,26.02.2024
Peugeot 2008 Purtech,81000,Peugeot,SUV/4x4,Essence,6,Manuelle,6000,07.2022,26.02.2024
Mercedes-Benz GLA,198000,Mercedes,SUV/4x4,Essence,7,Automatique,6000,06.2023,26.02.2024
BMW Série 4 Gran Coupé Luxury,99000,BMW,Citadine,Essence,7,Automatique,100000,01.2018,26.02.2024
Volkswagen Golf 7 Join Bva 1.5,80000,Volkswagen,SUV/4x4,Essence,6,Automatique,120000,08.2019,26.02.2024
KIA Picanto GT-line,38500,KIA,Citadine,Essence,5,Automatique,130000,08.2019,26.02.2024
Hyundai Grand i10 BVM,47500,Hyundai,Compacte,Essence,5,Manuelle,26000,01.2023,26.02.2024
Peugeot 406,19800,Peugeot,Berline,Essence,7,Manuelle,247000,08.2003,26.02.2024
BAIC YX Kenbo S2 SUV,42800,BAIC,SUV/4x4,Essence,7,Manuelle,51000,01.2018,26.02.2024
Audi A4 comfort,46000,Audi,Berline,Essence,7,Manuelle,187000,05.2013,26.02.2024
Volkswagen Passat Comfort line BVA,44000,Volkswagen,Berline,Essence,9,Automatique,137000,04.2012,26.02.2024
Smart ForTwo Sport,27500,Smart,Compacte,Essence,5,Manuelle,101000,08.2010,26.02.2024
Volkswagen Polo R-Line,67000,Volkswagen,Compacte,Essence,4,Manuelle,78000,05.2021,26.02.2024
Mercedes-Benz Classe A,50000,Mercedes,Coupé,Diesel,5,Automatique,181000,02.2014,17.02.2024
Mazda 6 En très bonne etat,65000,Mazda,Berline,Essence,9,Automatique,141000,03.2016,17.02.2024
